PoNumber,PostedDate,VendorID,VendorName,InvoiceNo,ProductName,ProductCode,ProductCategory,CategoryCode,UnitPrice,Quantity,OrderValue,DiscountValue,SalesValue,SalesReturn,DebitedAmount,Commission,Year,Month,Day,NetSales,DueAmount,PaymentMethods,BankName,PostedNo
PO-202412-1624,2024-12-20,VND005,Yello Energy Co.,INV-20241220-5705,Sunglasses,PRD0027,Accessories,CAT003,1252.88,6,7517.28,938.43,6578.85,76.09,6502.76,27.45,2024,12,20,6475.31,901.63,Cheque,Sonali Bank,ENT-20241220-01624
PO-202412-1836,2024-12-20,VND002,Kazi Tea IND Ltd.,INV-20241220-2035,Condom,PRD0009,Hygiene Products,CAT004,4014.01,97,389358.97,87399.32,301959.65,5664.04,296295.61,21772.52,2024,12,20,274523.09,124544.12,Nagad,,ENT-20241220-01836
PO-202412-0648,2024-12-20,VND006,Sun Corporation Ltd.,INV-20241220-7430,Aftershave,PRD0057,Hygiene Products,CAT004,4015.19,95,381443.05,36721.65,344721.4,8839.4,335882.0,31039.42,2024,12,20,304842.58,276763.07,Cash,,ENT-20241220-00648
PO-202412-1377,2024-12-20,VND007,Style Mart Brand,INV-20241220-1853,Condom,PRD0009,Hygiene Products,CAT004,3955.14,39,154250.46,34821.17,119429.29,5522.34,113906.95,15280.01,2024,12,20,98626.94,71123.79,Cheque,Bkash,ENT-20241220-01377
PO-202412-1115,2024-12-20,VND003,Shanti Enterprises,INV-20241220-5309,Aftershave,PRD0057,Hygiene Products,CAT004,4948.88,58,287035.04,71387.54,215647.5,15340.29,200307.21,1320.37,2024,12,20,198986.84,71284.23,Cash,,ENT-20241220-01115
PO-202412-1530,2024-12-19,VND002,Kazi Tea IND Ltd.,INV-20241219-1589,Watch,PRD0043,Accessories,CAT003,1211.59,32,38770.88,7110.29,31660.59,1855.29,29805.3,3244.49,2024,12,19,26560.81,15018.17,Cheque,Nagad,ENT-20241219-01530
PO-202412-1868,2024-12-19,VND007,Style Mart Brand,INV-20241219-9041,Deodorant,PRD0036,Cosmetics,CAT002,179.3,9,1613.7,53.95,1559.75,54.99,1504.76,206.41,2024,12,19,1298.35,580.88,Bank Transfer,Dutch Bangla Bank,ENT-20241219-01868
PO-202412-0509,2024-12-19,VND005,Yello Energy Co.,INV-20241219-3549,Face Mask,PRD0054,Cosmetics,CAT002,3012.86,32,96411.52,3207.05,93204.47,4268.82,88935.65,4926.62,2024,12,19,84009.03,77063.07,Nagad,,ENT-20241219-00509
PO-202412-1375,2024-12-19,VND003,Shanti Enterprises,INV-20241219-8253,Women's Saree,PRD0072,Fashion Apparel,CAT001,2848.99,31,88318.69,18980.32,69338.37,2864.1,66474.27,8312.54,2024,12,19,58161.73,44298.83,Cash,,ENT-20241219-01375
PO-202412-1310,2024-12-19,VND007,Style Mart Brand,INV-20241219-4528,Jewelry Set,PRD0044,Accessories,CAT003,1976.62,96,189755.52,51496.39,138259.13,8406.09,129853.04,12424.09,2024,12,19,117428.95,8022.31,Bank Transfer,City Bank,ENT-20241219-01310
PO-202412-0743,2024-12-19,VND003,Shanti Enterprises,INV-20241219-6283,Shaving Cream,PRD0066,Cosmetics,CAT002,3059.99,62,189719.38,53484.25,136235.13,5446.86,130788.27,4657.8,2024,12,19,126130.47,92077.2,Cheque,Nagad,ENT-20241219-00743
PO-202412-0850,2024-12-17,VND006,Sun Corporation Ltd.,INV-20241217-4603,Women's Nightwear,PRD0003,Fashion Apparel,CAT001,4043.89,16,64702.24,18237.27,46464.97,3237.87,43227.1,2101.33,2024,12,17,41125.77,15094.17,Cheque,Nagad,ENT-20241217-00850
PO-202412-1292,2024-12-17,VND002,Kazi Tea IND Ltd.,INV-20241217-3023,Sunscreen,PRD0068,Hygiene Products,CAT004,2653.0,89,236117.0,12948.14,223168.86,11547.73,211621.13,3886.4,2024,12,17,207734.73,207629.27,Bkash,,ENT-20241217-01292
PO-202412-1522,2024-12-16,VND007,Style Mart Brand,INV-20241216-4668,Body Wash,PRD0058,Hygiene Products,CAT004,3464.99,43,148994.57,2214.07,146780.5,5247.37,141533.13,6396.64,2024,12,16,135136.49,48483.36,Bkash,,ENT-20241216-01522
PO-202412-0530,2024-12-16,VND001,Creative Corporation,INV-20241216-4572,Makeup Remover,PRD0032,Cosmetics,CAT002,3201.09,65,208070.85,24264.46,183806.39,1566.02,182240.37,19923.18,2024,12,16,162317.19,22282.09,Bkash,,ENT-20241216-00530
PO-202412-1475,2024-12-15,VND001,Creative Corporation,INV-20241215-5027,Body Butter,PRD0016,Hygiene Products,CAT004,1753.07,71,124467.97,33515.54,90952.43,2168.66,88783.77,7420.86,2024,12,15,81362.91,48973.01,Cheque,Dutch Bangla Bank,ENT-20241215-01475
PO-202412-0370,2024-12-15,VND005,Yello Energy Co.,INV-20241215-8209,Hand Sanitizer,PRD0004,Hygiene Products,CAT004,4889.54,25,122238.5,30074.55,92163.95,6578.52,85585.43,7926.87,2024,12,15,77658.56,71465.82,Cheque,Rupali Bank,ENT-20241215-00370
PO-202412-1029,2024-12-15,VND001,Creative Corporation,INV-20241215-2390,Face Serum,PRD0053,Cosmetics,CAT002,4661.8,32,149177.6,40951.39,108226.21,6828.16,101398.05,5198.12,2024,12,15,96199.93,24683.05,Cheque,Nagad,ENT-20241215-01029
PO-202412-1448,2024-12-15,VND004,Organic Solutions,INV-20241215-7496,Watch,PRD0043,Accessories,CAT003,4841.54,86,416372.44,35018.44,381354.0,18191.1,363162.9,30690.3,2024,12,15,332472.6,192173.14,Cash,,ENT-20241215-01448
PO-202412-0175,2024-12-14,VND005,Yello Energy Co.,INV-20241214-8536,Watch,PRD0043,Accessories,CAT003,102.06,24,2449.44,22.19,2427.25,182.29,2244.96,326.0,2024,12,14,1918.96,473.5,Bank Transfer,BRAC Bank,ENT-20241214-00175
PO-202412-0586,2024-12-14,VND006,Sun Corporation Ltd.,INV-20241214-3541,Sunglasses,PRD0027,Accessories,CAT003,558.5,31,17313.5,2466.44,14847.06,310.51,14536.55,1356.72,2024,12,14,13179.83,11578.74,Bank Transfer,Nagad,ENT-20241214-00586
PO-202412-1255,2024-12-14,VND007,Style Mart Brand,INV-20241214-7078,Condom,PRD0009,Hygiene Products,CAT004,4596.88,14,64356.32,14530.71,49825.61,3334.63,46490.98,6085.86,2024,12,14,40405.12,12088.6,Nagad,,ENT-20241214-01255
PO-202412-1831,2024-12-14,VND006,Sun Corporation Ltd.,INV-20241214-7065,Body Butter,PRD0016,Hygiene Products,CAT004,265.01,11,2915.11,83.74,2831.37,62.27,2769.1,130.09,2024,12,14,2639.01,2062.4,Cash,,ENT-20241214-01831
PO-202412-0409,2024-12-14,VND006,Sun Corporation Ltd.,INV-20241214-5018,Deodorant,PRD0036,Cosmetics,CAT002,4548.06,33,150085.98,42988.9,107097.08,4502.93,102594.15,3596.11,2024,12,14,98998.04,64601.53,Cheque,Bkash,ENT-20241214-00409
PO-202412-1977,2024-12-13,VND003,Shanti Enterprises,INV-20241213-1050,Body Butter,PRD0016,Hygiene Products,CAT004,71.11,97,6897.67,630.7,6266.97,598.14,5668.83,724.37,2024,12,13,4944.46,2221.83,Cash,,ENT-20241213-01977
PO-202412-0568,2024-12-12,VND006,Sun Corporation Ltd.,INV-20241212-9330,Handbag,PRD0020,Accessories,CAT003,1110.88,97,107755.36,26576.61,81178.75,3707.44,77471.31,1143.91,2024,12,12,76327.4,54118.29,Nagad,,ENT-20241212-00568
PO-202412-0152,2024-12-12,VND001,Creative Corporation,INV-20241212-2302,Body Spray,PRD0001,Cosmetics,CAT002,3365.28,63,212012.64,60756.54,151256.1,14790.98,136465.12,14561.23,2024,12,12,121903.89,30554.93,Bkash,,ENT-20241212-00152
PO-202412-1549,2024-12-12,VND005,Yello Energy Co.,INV-20241212-4886,Condom,PRD0009,Hygiene Products,CAT004,3529.68,90,317671.2,86623.28,231047.92,16752.44,214295.48,24110.72,2024,12,12,190184.76,139266.32,Nagad,,ENT-20241212-01549
PO-202412-0928,2024-12-11,VND006,Sun Corporation Ltd.,INV-20241211-8868,Men Jeans,PRD0078,Fashion Apparel,CAT001,158.99,80,12719.2,2442.11,10277.09,809.35,9467.74,930.63,2024,12,11,8537.11,8180.45,Bank Transfer,Dutch Bangla Bank,ENT-20241211-00928
PO-202412-1594,2024-12-11,VND006,Sun Corporation Ltd.,INV-20241211-3352,Body Mist,PRD0035,Cosmetics,CAT002,189.06,74,13990.44,2331.27,11659.17,82.42,11576.75,441.59,2024,12,11,11135.16,5273.33,Nagad,,ENT-20241211-01594
PO-202412-1229,2024-12-10,VND001,Creative Corporation,INV-20241210-2841,Aftershave,PRD0057,Hygiene Products,CAT004,334.32,43,14375.76,2237.44,12138.32,862.25,11276.07,1587.4,2024,12,10,9688.67,8570.33,Bkash,,ENT-20241210-01229
PO-202412-0340,2024-12-10,VND005,Yello Energy Co.,INV-20241210-4484,Hair Mask,PRD0021,Cosmetics,CAT002,4852.11,78,378464.58,91515.75,286948.83,1219.72,285729.11,25551.44,2024,12,10,260177.67,232861.03,Bkash,,ENT-20241210-00340
PO-202412-0697,2024-12-10,VND003,Shanti Enterprises,INV-20241210-8545,Underarm Whitening Cream,PRD0050,Cosmetics,CAT002,406.64,66,26838.24,77.52,26760.72,1365.68,25395.04,3643.34,2024,12,10,21751.7,12376.04,Nagad,,ENT-20241210-00697
PO-202412-1268,2024-12-10,VND007,Style Mart Brand,INV-20241210-8388,Backpack,PRD0038,Hygiene Products,CAT004,247.69,89,22044.41,3827.39,18217.02,1061.6,17155.42,698.45,2024,12,10,16456.97,11061.96,Bkash,,ENT-20241210-01268
PO-202412-1385,2024-12-10,VND006,Sun Corporation Ltd.,INV-20241210-4413,Personal Lubricant,PRD0070,Hygiene Products,CAT004,2587.76,3,7763.28,498.61,7264.67,261.53,7003.14,776.15,2024,12,10,6226.99,6148.07,Cash,,ENT-20241210-01385
PO-202412-0162,2024-12-09,VND006,Sun Corporation Ltd.,INV-20241209-3083,Sunglasses,PRD0027,Accessories,CAT003,4827.92,27,130353.84,18643.44,111710.4,8068.98,103641.42,2320.42,2024,12,9,101321.0,13436.52,Nagad,,ENT-20241209-00162
PO-202412-1720,2024-12-09,VND005,Yello Energy Co.,INV-20241209-3202,Personal Lubricant,PRD0070,Hygiene Products,CAT004,2262.33,45,101804.85,27544.93,74259.92,2131.11,72128.81,5072.3,2024,12,9,67056.51,40207.73,Bkash,,ENT-20241209-01720
PO-202412-0170,2024-12-09,VND002,Kazi Tea IND Ltd.,INV-20241209-8035,Deodorant,PRD0036,Cosmetics,CAT002,2407.89,78,187815.42,6849.01,180966.41,7612.11,173354.3,6701.9,2024,12,9,166652.4,90289.48,Bank Transfer,BRAC Bank,ENT-20241209-00170
PO-202412-0080,2024-12-08,VND006,Sun Corporation Ltd.,INV-20241208-1469,Toothpaste,PRD0063,Hygiene Products,CAT004,4223.2,58,244945.6,64249.19,180696.41,14807.12,165889.29,23135.0,2024,12,8,142754.29,21592.8,Nagad,,ENT-20241208-00080
PO-202412-0991,2024-12-08,VND005,Yello Energy Co.,INV-20241208-1128,Kids Dress,PRD0067,Fashion Apparel,CAT001,1724.25,66,113800.5,29067.11,84733.39,2489.44,82243.95,11813.43,2024,12,8,70430.52,52437.05,Cheque,Nagad,ENT-20241208-00991
PO-202412-0798,2024-12-08,VND006,Sun Corporation Ltd.,INV-20241208-5228,Beard Oil,PRD0049,Cosmetics,CAT002,1202.54,44,52911.76,6869.11,46042.65,1083.2,44959.45,2605.59,2024,12,8,42353.86,6621.93,Cheque,Janata Bank,ENT-20241208-00798
PO-202412-1295,2024-12-08,VND004,Organic Solutions,INV-20241208-1273,Underarm Whitening Cream,PRD0050,Cosmetics,CAT002,2290.45,85,194688.25,19961.58,174726.67,3089.92,171636.75,18043.37,2024,12,8,153593.38,47355.91,Cheque,Dutch Bangla Bank,ENT-20241208-01295
PO-202412-0083,2024-12-07,VND006,Sun Corporation Ltd.,INV-20241207-6786,Face Mask,PRD0054,Cosmetics,CAT002,4026.79,76,306036.04,30603.6,275432.44,13771.62,261660.82,13083.04,2024,12,7,248577.78,21194.37,Bank Transfer,City Bank,ENT-20241207-00083
PO-202412-0902,2024-12-07,VND005,Yello Energy Co.,INV-20241207-2006,Hand Sanitizer,PRD0004,Hygiene Products,CAT004,4697.87,79,371131.73,93067.04,278064.69,7752.56,270312.13,10341.71,2024,12,7,259970.42,123602.14,Bkash,,ENT-20241207-00902
PO-202412-0526,2024-12-07,VND005,Yello Energy Co.,INV-20241207-1694,Hand Sanitizer,PRD0004,Hygiene Products,CAT004,2854.08,44,125579.52,36549.04,89030.48,8237.23,80793.25,5332.64,2024,12,7,75460.61,28263.49,Cheque,Bkash,ENT-20241207-00526
PO-202412-0077,2024-12-07,VND004,Organic Solutions,INV-20241207-6529,Face Serum,PRD0053,Cosmetics,CAT002,4445.14,43,191141.02,30135.41,161005.61,3210.15,157795.46,20442.57,2024,12,7,137352.89,892.0,Cash,,ENT-20241207-00077
PO-202412-0083,2024-12-07,VND006,Sun Corporation Ltd.,INV-20241207-6786,Face Mask,PRD0054,Cosmetics,CAT002,3928.5,66,259281.0,70187.18,189093.82,15586.73,173507.09,25231.25,2024,12,7,148275.84,68311.43,Bank Transfer,City Bank,ENT-20241207-00083
PO-202412-0875,2024-12-06,VND001,Creative Corporation,INV-20241206-8406,Hair Removal Cream,PRD0018,Cosmetics,CAT002,941.01,43,40463.43,4221.63,36241.8,1482.34,34759.46,2132.7,2024,12,6,32626.76,17342.89,Bank Transfer,Janata Bank,ENT-20241206-00875
PO-202412-0753,2024-12-05,VND001,Creative Corporation,INV-20241205-1146,Body Oil,PRD0059,Cosmetics,CAT002,442.14,55,24317.7,2840.78,21476.92,1376.27,20100.65,265.87,2024,12,5,19834.78,9954.47,Bkash,,ENT-20241205-00753
PO-202412-0008,2024-12-05,VND006,Sun Corporation Ltd.,INV-20241205-6742,Kids T-Shirt,PRD0006,Fashion Apparel,CAT001,4083.5,9,36751.5,4672.18,32079.32,2663.15,29416.17,2041.12,2024,12,5,27375.05,4364.14,Bank Transfer,Dutch Bangla Bank,ENT-20241205-00008
PO-202412-1889,2024-12-05,VND006,Sun Corporation Ltd.,INV-20241205-8317,Sanitary Napkins,PRD0030,Hygiene Products,CAT004,719.0,48,34512.0,6575.02,27936.98,527.12,27409.86,1616.5,2024,12,5,25793.36,15007.89,Cash,,ENT-20241205-01889
PO-202412-1020,2024-12-03,VND005,Yello Energy Co.,INV-20241203-2858,Face Serum,PRD0053,Cosmetics,CAT002,2488.29,78,194086.62,1432.53,192654.09,12754.18,179899.91,7392.94,2024,12,3,172506.97,15206.16,Cash,,ENT-20241203-01020
PO-202412-1982,2024-12-03,VND006,Sun Corporation Ltd.,INV-20241203-7277,Women's Nightwear,PRD0003,Fashion Apparel,CAT001,1617.09,19,30724.71,6657.19,24067.52,2269.7,21797.82,2787.6,2024,12,3,19010.22,7278.26,Cheque,Janata Bank,ENT-20241203-01982
PO-202412-1782,2024-12-03,VND003,Shanti Enterprises,INV-20241203-8408,Underarm Whitening Cream,PRD0050,Cosmetics,CAT002,350.57,71,24890.47,279.68,24610.79,842.51,23768.28,1487.47,2024,12,3,22280.81,239.62,Bkash,,ENT-20241203-01782
PO-202412-0492,2024-12-03,VND005,Yello Energy Co.,INV-20241203-1377,Keychain,PRD0012,Accessories,CAT003,3308.09,69,228258.21,68477.42,159780.79,7484.92,152295.87,19612.16,2024,12,3,132683.71,100929.97,Cash,,ENT-20241203-00492
PO-202412-1493,2024-12-02,VND005,Yello Energy Co.,INV-20241202-9635,Handbag,PRD0020,Accessories,CAT003,1226.46,46,56417.16,12708.7,43708.46,2074.76,41633.7,2265.93,2024,12,2,39367.77,10240.06,Cheque,Nagad,ENT-20241202-01493
PO-202412-1581,2024-12-01,VND007,Style Mart Brand,INV-20241201-5400,Personal Lubricant,PRD0070,Hygiene Products,CAT004,4690.14,10,46901.4,4049.81,42851.59,3303.59,39548.0,1418.61,2024,12,1,38129.39,868.71,Cash,,ENT-20241201-01581
PO-202412-0696,2024-12-01,VND002,Kazi Tea IND Ltd.,INV-20241201-6398,Mouthwash,PRD0025,Hygiene Products,CAT004,1599.95,37,59198.15,7109.95,52088.2,377.7,51710.5,1412.66,2024,12,1,50297.84,21420.61,Bank Transfer,Janata Bank,ENT-20241201-00696
PO-202412-1148,2024-12-01,VND001,Creative Corporation,INV-20241201-3876,Sanitary Napkins,PRD0030,Hygiene Products,CAT004,188.82,49,9252.18,1023.07,8229.11,731.16,7497.95,705.14,2024,12,1,6792.81,556.32,Bank Transfer,Sonali Bank,ENT-20241201-01148
PO-202412-1615,2024-12-01,VND006,Sun Corporation Ltd.,INV-20241201-3150,Umbrella,PRD0060,Accessories,CAT003,2083.57,68,141682.76,35490.44,106192.32,2820.19,103372.13,1481.96,2024,12,1,101890.17,71358.81,Bank Transfer,Bkash,ENT-20241201-01615
PO-202411-0773,2024-11-29,VND007,Style Mart Brand,INV-20241129-2005,Hat,PRD0019,Accessories,CAT003,640.13,33,21124.29,4489.73,16634.56,115.05,16519.51,115.74,2024,11,29,16403.77,6057.35,Cash,,ENT-20241129-00773
PO-202411-1125,2024-11-29,VND004,Organic Solutions,INV-20241129-2473,Handbag,PRD0020,Accessories,CAT003,1854.97,12,22259.64,3555.15,18704.49,1385.43,17319.06,1394.12,2024,11,29,15924.94,1421.2,Bank Transfer,City Bank,ENT-20241129-01125
PO-202411-1637,2024-11-29,VND003,Shanti Enterprises,INV-20241129-4779,Body Spray,PRD0001,Cosmetics,CAT002,221.77,42,9314.34,759.24,8555.1,198.2,8356.9,85.79,2024,11,29,8271.11,1800.2,Bkash,,ENT-20241129-01637
PO-202411-0773,2024-11-29,VND007,Style Mart Brand,INV-20241129-2005,Hat,PRD0019,Accessories,CAT003,3244.9,164,532163.6,53216.36,478947.24,23947.36,454999.88,22749.99,2024,11,29,432249.89,48479.89,Cash,,ENT-20241129-00773
PO-202411-1455,2024-11-29,VND006,Sun Corporation Ltd.,INV-20241129-5813,Women's Kurti,PRD0081,Fashion Apparel,CAT001,121.34,64,7765.76,238.26,7527.5,493.29,7034.21,641.92,2024,11,29,6392.29,2344.94,Bank Transfer,Janata Bank,ENT-20241129-01455
PO-202411-1101,2024-11-28,VND003,Shanti Enterprises,INV-20241128-5308,Women's Kurti,PRD0081,Fashion Apparel,CAT001,1568.94,73,114532.62,11600.33,102932.29,184.39,102747.9,11899.27,2024,11,28,90848.63,48645.73,Nagad,,ENT-20241128-01101
PO-202411-0638,2024-11-28,VND002,Kazi Tea IND Ltd.,INV-20241128-3117,Jewelry Set,PRD0044,Accessories,CAT003,4511.11,17,76688.87,4335.7,72353.17,5690.35,66662.82,731.74,2024,11,28,65931.08,7246.79,Cheque,Janata Bank,ENT-20241128-00638
PO-202411-0302,2024-11-28,VND004,Organic Solutions,INV-20241128-1135,Hair Spray,PRD0071,Cosmetics,CAT002,1640.03,38,62321.14,10583.9,51737.24,5046.67,46690.57,4731.9,2024,11,28,41958.67,39964.44,Bkash,,ENT-20241128-00302
PO-202411-0295,2024-11-28,VND003,Shanti Enterprises,INV-20241128-7344,Face Mask,PRD0054,Cosmetics,CAT002,708.56,60,42513.6,9019.44,33494.16,1440.37,32053.79,176.59,2024,11,28,31877.2,27376.91,Nagad,,ENT-20241128-00295
PO-202411-1282,2024-11-28,VND007,Style Mart Brand,INV-20241128-6060,Hair Serum,PRD0011,Cosmetics,CAT002,4264.76,1,4264.76,1240.67,3024.09,94.38,2929.71,411.42,2024,11,28,2518.29,197.81,Bkash,,ENT-20241128-01282
PO-202411-1582,2024-11-27,VND001,Creative Corporation,INV-20241127-2081,Gloves,PRD0023,Hygiene Products,CAT004,4475.11,27,120827.97,7851.53,112976.44,7559.25,105417.19,14539.75,2024,11,27,90877.44,78572.52,Bank Transfer,BRAC Bank,ENT-20241127-01582
PO-202411-1315,2024-11-27,VND002,Kazi Tea IND Ltd.,INV-20241127-7548,Sunglasses,PRD0027,Accessories,CAT003,681.86,61,41593.46,945.94,40647.52,750.59,39896.93,4630.88,2024,11,27,35266.05,4510.65,Bkash,,ENT-20241127-01315
PO-202411-1513,2024-11-26,VND007,Style Mart Brand,INV-20241126-3433,Makeup Kit,PRD0056,Cosmetics,CAT002,4726.78,43,203251.54,20744.01,182507.53,17273.01,165234.52,13554.78,2024,11,26,151679.74,23039.62,Nagad,,ENT-20241126-01513
